,Train Loss,Test Loss,Train Accuracy,Test Accuracy
116,1.0098339796066285,1.0905959606170654,0.7408,0.645
117,1.0025067567825316,1.088106989860535,0.7369,0.6525
118,1.01389821767807,1.0987784266471865,0.7333,0.6375
119,1.0032954812049866,1.0936524868011477,0.7386,0.64
120,1.0038594007492063,1.1095924377441406,0.7431,0.6225
121,1.0048503637313844,1.0919768810272217,0.7353,0.65
122,1.0121147990226746,1.0949286222457886,0.7333,0.645
123,1.0158561706542968,1.0866820216178894,0.7233,0.66
124,1.0125206232070922,1.0930157899856567,0.7333,0.6475
125,1.0125895857810974,1.0836714506149292,0.7281,0.655
126,1.0065832495689393,1.0885741114616394,0.74,0.65
127,1.00434250831604,1.0983129143714905,0.7392,0.6425
128,1.0070350766181946,1.0985150933265686,0.7364,0.635
129,1.0064204454421997,1.111682951450348,0.7367,0.625
130,1.0025991678237915,1.0922142267227173,0.7442,0.645
131,0.9947352409362792,1.0908260345458984,0.7439,0.645
132,0.9973116397857666,1.1000714898109436,0.7469,0.635
133,0.9939861297607422,1.0959203839302063,0.7472,0.645
134,0.9985300183296204,1.0924195647239685,0.7472,0.655
135,1.001632273197174,1.1043438911437988,0.7433,0.6375
136,0.9986660599708556,1.0974098443984983,0.7461,0.6375
137,0.996121346950531,1.1046279668807983,0.7461,0.6325
138,0.9933648943901062,1.091939389705658,0.7492,0.6525
139,1.0020419836044312,1.1011412143707275,0.7469,0.6375
140,0.9993391871452332,1.0892103910446167,0.7392,0.6525
141,0.999765145778656,1.0913987159729004,0.7428,0.65
142,1.008181929588318,1.1151742935180664,0.7336,0.63
143,0.9977323532104492,1.1039330959320068,0.7433,0.6325
144,1.0051328897476195,1.0786357522010803,0.7406,0.6675
145,0.9989989399909972,1.105495572090149,0.7414,0.64
146,1.0007592678070067,1.0961897373199463,0.7439,0.6425
147,1.00549054145813,1.096619427204132,0.7353,0.645
148,0.9983245849609376,1.1020740270614624,0.7389,0.64
149,0.997212541103363,1.1018953919410706,0.7422,0.635
150,0.9971235156059264,1.100483000278473,0.7472,0.6425
151,0.9935920000076294,1.09745654463768,0.7464,0.6425
152,1.0045562744140626,1.1131470203399658,0.7389,0.6125
153,0.9974720001220704,1.0890846848487854,0.7447,0.655
154,0.9942507147789,1.0897094011306765,0.7486,0.65
155,0.9901485443115234,1.1032472252845764,0.7514,0.6375
156,0.9928863525390624,1.1131101846694946,0.7514,0.6275
157,0.9919960856437684,1.1048073172569275,0.7525,0.6325
158,0.994857895374298,1.1056681871414185,0.7533,0.635
159,0.986912977695465,1.1104984283447266,0.7536,0.635
160,0.9867412686347962,1.1108576655387878,0.755,0.625
161,0.9903934717178344,1.1048942804336548,0.755,0.6325
162,0.9944303393363952,1.119771957397461,0.7539,0.6225
163,0.9900104641914368,1.106304943561554,0.7561,0.6375
164,0.9957222938537598,1.101778864860535,0.7517,0.6375
165,0.9912536144256592,1.111329972743988,0.7517,0.6275
166,0.9869870901107788,1.1005210876464844,0.7542,0.64
167,0.998576819896698,1.0839428305625916,0.7453,0.6525
168,0.9886290788650512,1.1126853823661804,0.7531,0.6275
169,0.9879591345787048,1.1025019884109497,0.755,0.6425
170,0.9848531365394592,1.096480369567871,0.7567,0.64
171,0.990782594680786,1.0999074578285215,0.755,0.64
172,0.9768310189247132,1.1114653944969175,0.7567,0.625
173,0.984908151626587,1.1025176644325256,0.7564,0.635
174,0.983752167224884,1.1064529418945312,0.7572,0.635
175,0.987231433391571,1.1053129434585571,0.7583,0.6375
176,0.9828470826148988,1.1102783679962158,0.7561,0.6325
177,0.9893929958343506,1.096405208110809,0.7511,0.6425
178,0.9921253442764282,1.1042689085006714,0.7528,0.635
179,0.9942869186401369,1.1056143045425415,0.7481,0.63
180,0.99596905708313,1.0886306762695312,0.7458,0.6525
181,0.994766330718994,1.1188427209854126,0.7497,0.6175
182,0.9926790475845336,1.107826590538025,0.7494,0.6325
183,1.0014422297477723,1.091886341571808,0.7467,0.6475
184,0.992665457725525,1.0950803756713867,0.75,0.645
185,0.9874052166938782,1.1046728491783142,0.7519,0.6325
186,1.001908242702484,1.1055744290351868,0.7433,0.635
187,1.003903567790985,1.0841132402420044,0.7347,0.655
188,0.99697128534317,1.1112883687019348,0.7511,0.63
189,0.9853704571723938,1.0982218980789185,0.7542,0.6375
190,0.9903987646102904,1.0926818251609802,0.7525,0.645
191,0.991639482975006,1.0933461785316467,0.75,0.65
192,1.001655387878418,1.092170238494873,0.7433,0.6475
193,1.0012134671211244,1.0976624488830566,0.7428,0.64
194,0.9971229314804078,1.105665922164917,0.745,0.64
195,1.0064477920532229,1.1109294891357422,0.7386,0.63
196,1.0138725280761718,1.0850642323493958,0.7256,0.655
197,1.0146294355392456,1.125809907913208,0.7247,0.6175
198,1.004452610015869,1.0886717438697815,0.7361,0.65
199,1.0161741495132446,1.0939649939537048,0.7272,0.645
200,1.0027217268943789,1.0949965119361875,0.7342,0.6475
201,1.0036779761314392,1.0842907428741455,0.7364,0.655
202,0.9945068717002868,1.088871717453003,0.7419,0.65
203,0.9951283693313598,1.097971796989441,0.7483,0.64
204,0.9914538383483886,1.092572569847107,0.7542,0.6475
205,0.9920029163360596,1.099885642528534,0.7528,0.6425
206,0.989304494857788,1.0917725563049316,0.7522,0.645
207,0.9900302052497864,1.110540211200714,0.7533,0.625
208,0.9935163140296936,1.1021922826766968,0.7536,0.64
209,0.988573431968689,1.1020950078964231,0.7561,0.635
210,0.9844722747802734,1.098753571510315,0.7558,0.6425
211,0.9830115437507628,1.0962551832199097,0.7578,0.64
212,0.981325387954712,1.0933533310890198,0.7597,0.6475
213,0.981508481502533,1.1047532558441162,0.7564,0.635
214,0.9938383340835572,1.0873392820358276,0.7533,0.655
215,0.9916433095932008,1.1034528017044067,0.7544,0.6375
216,0.983469021320343,1.0979846119880676,0.7603,0.64
217,0.9845487833023072,1.104576051235199,0.7578,0.6375
218,0.9849605679512023,1.112625002861023,0.7575,0.625
219,0.9910634994506836,1.098827600479126,0.7553,0.64
220,0.9887314438819884,1.1042141914367676,0.7506,0.6375
221,0.9837956666946412,1.1032347083091736,0.7606,0.6375
222,0.9885848641395568,1.087819755077362,0.7561,0.655
223,0.9840921282768248,1.10046648979187,0.7575,0.6375
224,0.9824569702148438,1.093155324459076,0.7586,0.645
225,0.9804018020629884,1.1056165099143982,0.7583,0.635
226,0.988458514213562,1.0939344763755798,0.7597,0.645
227,0.984348726272583,1.100562870502472,0.7564,0.64
228,0.9848609685897828,1.0982327461242676,0.7569,0.6475
229,0.9892049789428712,1.099793791770935,0.7575,0.645
230,0.98525550365448,1.0868467688560486,0.755,0.65
231,0.9893744230270386,1.1030795574188232,0.7536,0.64
232,0.9826253652572632,1.0934860706329346,0.7578,0.6475
233,0.9787997126579284,1.106119692325592,0.7603,0.6375
234,0.9919175028800964,1.100845754146576,0.7603,0.6375
235,0.9809078454971314,1.093944013118744,0.7597,0.6475
236,0.9930062055587768,1.0972460508346558,0.7583,0.64
237,0.9921014070510864,1.1083983182907104,0.7539,0.6325
238,0.9990972399711608,1.0804443359375,0.7397,0.6575
239,0.99248765707016,1.1042184829711914,0.7528,0.6375
240,1.0034487843513489,1.0689186453819275,0.7375,0.6725
241,0.9988752841949464,1.11751526594162,0.7411,0.625
242,1.0061370372772216,1.0767085552215576,0.7364,0.665
243,0.9962844491004944,1.1169057488441467,0.7472,0.6225
244,1.0061094164848328,1.0876469016075134,0.7394,0.65
245,1.0088303804397585,1.094373881816864,0.7414,0.6475
246,1.0037978887557983,1.0722908973693848,0.7344,0.67
247,0.9978031754493714,1.0912207961082458,0.7447,0.65
248,0.9925586223602296,1.104807198047638,0.7506,0.6375
249,0.9892715096473694,1.1004629731178284,0.7486,0.64
250,0.9919623970985412,1.0983274579048157,0.7483,0.6475
251,0.9896465301513672,1.0908202528953552,0.75,0.6525
252,0.9885571718215942,1.095309138298035,0.7553,0.6425
253,0.9866097569465636,1.0836513042449951,0.7506,0.665
